cell_id,pred_type
cell_1,Adipocyte
cell_2,Adipocyte
cell_3,Adipocyte
cell_4,Adipocyte
cell_5,Adipocyte
cell_6,Adipocyte
cell_7,Adipocyte
cell_8,Adipocyte
cell_9,Adipocyte
cell_10,Adipocyte
cell_11,Adipocyte
cell_12,Adipocyte
cell_13,Adipocyte
cell_14,Adipocyte
cell_15,Adipocyte
cell_16,Adipocyte
cell_17,Adipocyte
cell_18,Adipocyte
cell_19,Adipocyte
cell_20,Adipocyte
cell_21,Adipocyte
cell_22,Adipocyte
cell_23,Adipocyte
cell_24,Adipocyte
cell_25,Adipocyte
cell_26,Adipocyte
cell_27,Adipocyte
cell_28,Adipocyte
cell_29,Adipocyte
cell_30,Adipocyte
cell_31,Adipocyte
cell_32,Adipocyte
cell_33,Adipocyte
cell_34,Adipocyte
cell_35,Adipocyte
cell_36,Adipocyte
cell_37,Adipocyte
cell_38,Adipocyte
cell_39,Adipocyte
cell_40,Adipocyte
cell_41,Adipocyte
cell_42,Adipocyte
cell_43,Radial
cell_44,Radial
cell_45,Radial
cell_46,Radial
cell_47,Radial
cell_48,Radial
cell_49,Radial
cell_50,Radial
cell_51,Radial
cell_52,Radial
cell_53,Radial
cell_54,Radial
cell_55,Radial
cell_56,Radial
cell_57,Radial
cell_58,Radial
cell_59,Radial
cell_60,Radial
cell_61,Radial
cell_62,Radial
cell_63,Radial
cell_64,Radial
cell_65,Radial
cell_66,Radial
cell_67,Radial
cell_68,Radial
cell_69,Radial
cell_70,Radial
cell_71,Radial
cell_72,Radial
cell_73,Radial
cell_74,Radial
cell_75,Radial
cell_76,Radial
cell_77,Radial
cell_78,Radial
cell_79,Radial
cell_80,Radial
cell_81,Radial
cell_82,Radial
cell_83,Radial
cell_84,Radial
cell_85,Radial
cell_86,Radial
cell_87,Radial
cell_88,Radial
cell_89,Radial
cell_90,Radial
cell_91,Radial
cell_92,Radial
cell_93,Radial
cell_94,Radial
cell_95,Radial
cell_96,Radial
cell_97,Radial
cell_98,Radial
cell_99,Radial
cell_100,Radial
cell_101,Radial
cell_102,Radial
cell_103,Radial
cell_104,Radial
cell_105,Radial
cell_106,Radial
cell_107,Radial
cell_108,Radial
cell_109,Stomach
cell_110,Stomach
cell_111,Stomach
cell_112,Stomach
cell_113,Stomach
cell_114,Stomach
cell_115,Stomach
cell_116,Stomach
cell_117,Stomach
cell_118,Stomach
cell_119,Stomach
cell_120,Stomach
cell_121,Stomach
cell_122,Stomach
cell_123,Stomach
cell_124,Stomach
cell_125,Stomach
cell_126,Stomach
cell_127,Stomach
cell_128,Stomach
cell_129,Stomach
cell_130,Stomach
cell_131,Stomach
cell_132,Stomach
cell_133,Stomach
cell_134,Stomach
cell_135,Stomach
cell_136,Troph_Stem
cell_137,Troph_Stem
cell_138,Troph_Stem
cell_139,Troph_Stem
cell_140,Troph_Stem
cell_141,Troph_Stem
cell_142,Troph_Stem
cell_143,Troph_Stem
cell_144,Troph_Stem
cell_145,Troph_Stem
cell_146,Troph_Stem
cell_147,Troph_Stem
cell_148,Troph_Stem
cell_149,Troph_Stem
cell_150,Troph_Stem
cell_151,Troph_Stem
cell_152,Troph_Stem
cell_153,Troph_Stem
cell_154,Troph_Stem
cell_155,Troph_Stem
cell_156,Troph_Stem
cell_157,Troph_Stem
cell_158,Troph_Stem
cell_159,Troph_Stem
cell_160,Troph_Stem
cell_161,Troph_Stem
cell_162,Troph_Stem
cell_163,Troph_Stem
cell_164,Troph_Stem
cell_165,Troph_Stem
cell_166,Troph_Stem
cell_167,Troph_Stem
cell_168,Troph_Stem
cell_169,Troph_Stem
cell_170,Troph_Stem
